id,name,age
,Frank Garcia,20
1002.0,David Anderson,-5
1003.0,Henry Rodriguez,150
1005.0,Eva Jones,28
1005.0,Eva Smith,42
1006.0,Alice Wilson,41
1007.0,Jane Thomas,39
1008.0,Grace Garcia,51
1009.0,Eva Wilson,40
1010.0,Frank Garcia,35
1011.0,Henry Garcia,62
1012.0,John Garcia,44
1013.0,Eva Thomas,43
1014.0,Grace Anderson,55
1015.0,Grace Jones,48
1016.0,Henry Anderson,34
1017.0,Charlie Jones,68
1018.0,Frank Wilson,42
1019.0,David Anderson,62
1020.0,Frank Anderson,31
1021.0,Jane Miller,55
1022.0,John Thomas,65
1023.0,David Wilson,19
1024.0,Henry Garcia,45
1025.0,Bob Garcia,73
1026.0,Alice Smith,58
1027.0,Henry Taylor,41
1028.0,Grace Garcia,53
1029.0,Henry Anderson,44
1030.0,Eva Rodriguez,66
1031.0,Bob Rodriguez,62
1032.0,Charlie Thomas,59
1033.0,Jane Miller,71
1034.0,Jane Rodriguez,18
1035.0,Jane Jones,35
1036.0,Alice Rodriguez,69
1037.0,Bob Wilson,60
1038.0,Alice Wilson,36
1039.0,Alice Thomas,31
1040.0,John Thomas,26
1041.0,David Davis,67
1042.0,Alice Rodriguez,58
1043.0,David Taylor,61
1044.0,Eva Smith,28
1045.0,Bob Wilson,56
1046.0,David Garcia,45
1047.0,John Anderson,29
1048.0,Alice Rodriguez,18
1049.0,Eva Wilson,27
1050.0,John Davis,36
1051.0,Henry Miller,72
1052.0,John Rodriguez,24
1053.0,Frank Davis,20
1054.0,Bob Rodriguez,73
1055.0,David Thomas,69
1056.0,Alice Taylor,73
1057.0,Charlie Garcia,74
1058.0,Charlie Miller,66
1059.0,Jane Wilson,26
1060.0,David Rodriguez,37
1061.0,Henry Thomas,36
1062.0,Alice Rodriguez,32
1063.0,Charlie Wilson,68
1064.0,Henry Wilson,62
1065.0,Bob Anderson,41
1066.0,Alice Garcia,73
1067.0,David Miller,69
1068.0,Henry Wilson,61
1069.0,Alice Smith,67
1070.0,Henry Garcia,63
1071.0,Bob Wilson,29
1072.0,Charlie Davis,57
1073.0,John Thomas,42
1074.0,Frank Jones,36
1075.0,Frank Wilson,49
1076.0,Henry Davis,53
1077.0,Eva Anderson,71
1078.0,Charlie Anderson,30
1079.0,Frank Wilson,49
1080.0,Frank Taylor,38
1081.0,Eva Davis,34
1082.0,David Rodriguez,67
1083.0,Alice Miller,30
1084.0,Grace Smith,47
1085.0,Alice Davis,28
1086.0,Alice Rodriguez,25
1087.0,Bob Davis,65
1088.0,Charlie Thomas,60
1089.0,Alice Jones,74
1090.0,Charlie Garcia,59
1091.0,Jane Thomas,65
1092.0,Bob Thomas,68
1093.0,John Wilson,67
1094.0,Jane Thomas,61
1095.0,David Smith,22
1096.0,Jane Smith,38
1097.0,Eva Davis,37
1098.0,Frank Smith,33
1099.0,John Anderson,23
1100.0,Henry Garcia,21
